lot_number,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
23975520,44A/5/37," $705,114,000.00 "," $12,900,000.00 "," $35,255,700.00 ",0,On sale,19.06.2026 09:00,8,12,54.66,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,41.55,0,13.11,2,https://e-auksion.uz/lot-view?lot_id=23975520
23975523,44A/5/57," $705,114,000.00 "," $12,900,000.00 "," $35,255,700.00 ",0,On sale,19.06.2026 09:00,12,12,54.66,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,41.55,0,13.11,,https://e-auksion.uz/lot-view?lot_id=23975523
23975537,46A/2/43," $973,261,000.00 "," $10,900,000.00 "," $48,663,050.00 ",0,On sale,19.06.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,3,https://e-auksion.uz/lot-view?lot_id=23975537
23975545,46A/2/40," $772,156,000.00 "," $10,900,000.00 "," $38,607,800.00 ",0,On sale,19.06.2026 09:00,8,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,,https://e-auksion.uz/lot-view?lot_id=23975545
23975554,46A/3/20," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,19.06.2026 09:00,5,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,,https://e-auksion.uz/lot-view?lot_id=23975554
23975560,46A/2/47," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,19.06.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,,https://e-auksion.uz/lot-view?lot_id=23975560
23975570,46A/4/37," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,19.06.2026 09:00,11,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,,https://e-auksion.uz/lot-view?lot_id=23975570
23975573,46A/9/36," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,19.06.2026 09:00,9,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,,https://e-auksion.uz/lot-view?lot_id=23975573
23975583,44A/7/39," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,19.06.2026 09:00,9,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,,https://e-auksion.uz/lot-view?lot_id=23975583
23975463,46A/6/36," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,19.06.2026 09:00,9,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,2,https://e-auksion.uz/lot-view?lot_id=23975463
23975474,44B/6/41," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,19.06.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975474
23975482,44B/2/23," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,19.06.2026 09:00,4,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975482
23975491,44B/6/44," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,19.06.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975491
23975500,44B/2/39," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,19.06.2026 09:00,7,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,,https://e-auksion.uz/lot-view?lot_id=23975500
23975519,44A/5/56," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,19.06.2026 09:00,12,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,,https://e-auksion.uz/lot-view?lot_id=23975519
