lot_number,name,lot_number_extracted,building_number, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24540969,46A/7/26,46A,7," 868,730,000.00 "," 10,900,000.00 "," 43,436,500.00 ",0,On sale,24.07.2026 09:00,6,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,1,https://e-auksion.uz/lot-view?lot_id=24540969
24540979,44A/2/54,44A,2," 964,977,000.00 "," 10,900,000.00 "," 48,248,850.00 ",0,On sale,24.07.2026 09:00,9,9,88.53,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,70.42,0,18.11,0,https://e-auksion.uz/lot-view?lot_id=24540979
24540989,44A/2/41,44A,2," 872,981,000.00 "," 10,900,000.00 "," 43,649,050.00 ",0,On sale,24.07.2026 09:00,7,9,80.09,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.7,0,16.39,0,https://e-auksion.uz/lot-view?lot_id=24540989
24540997,46A/7/44,46A,7," 868,730,000.00 "," 10,900,000.00 "," 43,436,500.00 ",0,On sale,24.07.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,0,https://e-auksion.uz/lot-view?lot_id=24540997
24540999,44A/2/16,44A,2," 768,450,000.00 "," 10,900,000.00 "," 38,422,500.00 ",0,On sale,24.07.2026 09:00,3,9,70.5,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.94,0,9.56,1,https://e-auksion.uz/lot-view?lot_id=24540999
24541017,44A/2/38,44A,2," 873,308,000.00 "," 10,900,000.00 "," 43,665,400.00 ",0,On sale,24.07.2026 09:00,7,9,80.12,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.73,0,16.39,0,https://e-auksion.uz/lot-view?lot_id=24541017
24541021,44A/6/35,44A,6," 872,981,000.00 "," 10,900,000.00 "," 43,649,050.00 ",0,On sale,24.07.2026 09:00,6,9,80.09,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.7,0,16.39,0,https://e-auksion.uz/lot-view?lot_id=24541021
24541041,44A/6/38,44A,6," 873,308,000.00 "," 10,900,000.00 "," 43,665,400.00 ",0,On sale,24.07.2026 09:00,7,9,80.12,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.73,0,16.39,0,https://e-auksion.uz/lot-view?lot_id=24541041
24541048,44A/6/50,44A,6," 873,308,000.00 "," 10,900,000.00 "," 43,665,400.00 ",0,On sale,24.07.2026 09:00,9,9,80.12,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.73,0,16.39,1,https://e-auksion.uz/lot-view?lot_id=24541048
24541026,44A/6/47,44A,6," 872,981,000.00 "," 10,900,000.00 "," 43,649,050.00 ",0,On sale,24.07.2026 09:00,8,9,80.09,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.7,0,16.39,0,https://e-auksion.uz/lot-view?lot_id=24541026
24541036,44A/6/28,44A,6," 768,450,000.00 "," 10,900,000.00 "," 38,422,500.00 ",0,On sale,24.07.2026 09:00,5,9,70.5,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.94,0,9.56,0,https://e-auksion.uz/lot-view?lot_id=24541036
24541045,44A/6/41,44A,6," 872,981,000.00 "," 10,900,000.00 "," 43,649,050.00 ",0,On sale,24.07.2026 09:00,7,9,80.09,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.7,0,16.39,0,https://e-auksion.uz/lot-view?lot_id=24541045
24541049,44A/6/20,44A,6," 873,308,000.00 "," 10,900,000.00 "," 43,665,400.00 ",0,On sale,24.07.2026 09:00,4,9,80.12,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.73,0,16.39,0,https://e-auksion.uz/lot-view?lot_id=24541049
24540900,44A/7/55,44A,7," 854,887,000.00 "," 10,900,000.00 "," 42,744,350.00 ",0,On sale,24.07.2026 09:00,12,12,78.43,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.92,0,17.51,3,https://e-auksion.uz/lot-view?lot_id=24540900
24540919,45D/7/9,45D,7," 793,520,000.00 "," 10,900,000.00 "," 39,676,000.00 ",0,On sale,24.07.2026 09:00,2,9,72.8,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,2,https://e-auksion.uz/lot-view?lot_id=24540919
24540928,45D/8/7,45D,8," 1,018,278,000.00 "," 10,900,000.00 "," 50,913,900.00 ",0,On sale,24.07.2026 09:00,2,9,93.42,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,1,https://e-auksion.uz/lot-view?lot_id=24540928
