lot_number,Lot,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24093704,43F,43F/5/56," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,30.06.2026 09:00,12,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,2,https://e-auksion.uz/lot-view?lot_id=24093704
24093599,46A,46A/6/41," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,30.06.2026 09:00,10,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,5,https://e-auksion.uz/lot-view?lot_id=24093599
24093608,44A,44A/5/51," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,30.06.2026 09:00,11,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,3,https://e-auksion.uz/lot-view?lot_id=24093608
24093620,44B,44B/6/42," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,30.06.2026 09:00,7,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,3,https://e-auksion.uz/lot-view?lot_id=24093620
24093629,44B,44B/2/51," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,30.06.2026 09:00,9,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,0,https://e-auksion.uz/lot-view?lot_id=24093629
24093638,44B,44B/6/53," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24093638
24093650,44A,44A/4/16," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,30.06.2026 09:00,3,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,3,https://e-auksion.uz/lot-view?lot_id=24093650
24093667,46A,46A/9/46," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,30.06.2026 09:00,11,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24093667
24093677,44A,44A/7/49," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,30.06.2026 09:00,11,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,0,https://e-auksion.uz/lot-view?lot_id=24093677
24093689,43F,43F/5/49," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,30.06.2026 09:00,11,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,2,https://e-auksion.uz/lot-view?lot_id=24093689
