lot_number,Lot,Building,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24266897,46A,7,46A/7/35,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",1,On sale,13.07.2026 09:00,7,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,15,https://e-auksion.uz/lot-view?lot_id=24266897
24266906,46A,7,46A/7/38,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",0,On sale,13.07.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,17,https://e-auksion.uz/lot-view?lot_id=24266906
24266951,46A,8,46A/8/11,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",1,On sale,13.07.2026 09:00,3,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,77,https://e-auksion.uz/lot-view?lot_id=24266951
24266896,46A,8,46A/8/19,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",1,On sale,13.07.2026 09:00,5,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,29,https://e-auksion.uz/lot-view?lot_id=24266896
24266908,46A,7,46A/7/26,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",0,On sale,13.07.2026 09:00,6,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,17,https://e-auksion.uz/lot-view?lot_id=24266908
24266917,46A,7,46A/7/11,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",1,On sale,13.07.2026 09:00,3,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,53,https://e-auksion.uz/lot-view?lot_id=24266917
24266948,46A,8,46A/8/47,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",0,On sale,13.07.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,8,https://e-auksion.uz/lot-view?lot_id=24266948
24320844,44A,1,44A/1/55,"$888,459,000.00 ","$10,900,000.00 ","$44,422,950.00 ",0,On sale,13.07.2026 09:00,11,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,8,https://e-auksion.uz/lot-view?lot_id=24320844
24320853,46A,1,46A/1/54,"$850,854,000.00 ","$10,900,000.00 ","$42,542,700.00 ",0,On sale,13.07.2026 09:00,12,12,78.06,3,2027-yilning 2 choragida ,To'liq bitkazilgan holda,60.43,0,17.63,9,https://e-auksion.uz/lot-view?lot_id=24320853
24320858,44B,6,44B/6/47,"$844,750,000.00 ","$10,900,000.00 ","$42,237,500.00 ",0,On sale,13.07.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,2,https://e-auksion.uz/lot-view?lot_id=24320858
24320862,44A,4,44A/4/16,"$894,166,000.00 ","$11,900,000.00 ","$44,708,300.00 ",0,On sale,13.07.2026 09:00,3,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,11,https://e-auksion.uz/lot-view?lot_id=24320862
24320870,44B,6,44B/6/43,"$953,750,000.00 ","$10,900,000.00 ","$47,687,500.00 ",0,On sale,13.07.2026 09:00,8,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,9,https://e-auksion.uz/lot-view?lot_id=24320870
24320879,44B,6,44B/6/51,"$756,460,000.00 ","$10,900,000.00 ","$37,823,000.00 ",0,On sale,13.07.2026 09:00,9,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,8,https://e-auksion.uz/lot-view?lot_id=24320879
24320884,44A,5,44A/5/41,"$693,532,000.00 ","$11,900,000.00 ","$34,676,600.00 ",0,On sale,13.07.2026 09:00,9,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,40,https://e-auksion.uz/lot-view?lot_id=24320884
24320898,46A,9,46A/9/31,"$902,956,000.00 ","$10,900,000.00 ","$45,147,800.00 ",0,On sale,13.07.2026 09:00,8,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,6,https://e-auksion.uz/lot-view?lot_id=24320898
24320900,43F,5,43F/5/47,"$1,006,974,000.00 ","$12,900,000.00 ","$50,348,700.00 ",0,On sale,13.07.2026 09:00,10,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,2,https://e-auksion.uz/lot-view?lot_id=24320900
24320910,43F,5,43F/5/42,"$1,006,974,000.00 ","$12,900,000.00 ","$50,348,700.00 ",0,On sale,13.07.2026 09:00,9,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,1,https://e-auksion.uz/lot-view?lot_id=24320910
24320921,43F,5,43F/5/27,"$1,006,974,000.00 ","$12,900,000.00 ","$50,348,700.00 ",0,On sale,13.07.2026 09:00,6,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,0,https://e-auksion.uz/lot-view?lot_id=24320921
24320929,43F,5,43F/5/39,"$748,458,000.00 ","$12,900,000.00 ","$37,422,900.00 ",0,On sale,13.07.2026 09:00,9,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,5,https://e-auksion.uz/lot-view?lot_id=24320929
24320933,43F,8,43F/8/39,"$1,021,035,000.00 ","$12,900,000.00 ","$51,051,750.00 ",0,On sale,13.07.2026 09:00,7,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,0,https://e-auksion.uz/lot-view?lot_id=24320933
24320938,43F,8,43F/8/32,"$1,021,035,000.00 ","$12,900,000.00 ","$51,051,750.00 ",0,On sale,13.07.2026 09:00,6,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,0,https://e-auksion.uz/lot-view?lot_id=24320938
24320904,43F,5,43F/5/54,"$748,458,000.00 ","$12,900,000.00 ","$37,422,900.00 ",0,On sale,13.07.2026 09:00,12,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,10,https://e-auksion.uz/lot-view?lot_id=24320904
24320915,43F,5,43F/5/18,"$1,068,636,000.00 ","$12,900,000.00 ","$53,431,800.00 ",0,On sale,13.07.2026 09:00,4,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,1,https://e-auksion.uz/lot-view?lot_id=24320915
24320922,44A,7,44A/7/54,"$888,459,000.00 ","$10,900,000.00 ","$44,422,950.00 ",0,On sale,13.07.2026 09:00,12,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,4,https://e-auksion.uz/lot-view?lot_id=24320922
24320932,43F,8,43F/8/36,"$841,338,000.00 ","$12,900,000.00 ","$42,066,900.00 ",0,On sale,13.07.2026 09:00,7,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,53.24,0,11.98,21,https://e-auksion.uz/lot-view?lot_id=24320932
24266888,46A,7,46A/7/31,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",0,On sale,13.07.2026 09:00,7,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,24,https://e-auksion.uz/lot-view?lot_id=24266888
24266924,46A,8,46A/8/13,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",1,On sale,13.07.2026 09:00,4,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,42,https://e-auksion.uz/lot-view?lot_id=24266924
24266931,46A,8,46A/8/26,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",0,On sale,13.07.2026 09:00,6,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,14,https://e-auksion.uz/lot-view?lot_id=24266931
24266955,46A,8,46A/8/35,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",0,On sale,13.07.2026 09:00,7,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,14,https://e-auksion.uz/lot-view?lot_id=24266955
24266959,46A,8,46A/8/24,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",1,On sale,13.07.2026 09:00,5,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,28,https://e-auksion.uz/lot-view?lot_id=24266959
24320940,43F,8,43F/8/40,"$1,097,532,000.00 ","$12,900,000.00 ","$54,876,600.00 ",0,On sale,13.07.2026 09:00,7,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,0,https://e-auksion.uz/lot-view?lot_id=24320940
24267138,46A,7,46A/7/42,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",0,On sale,13.07.2026 09:00,8,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,8,https://e-auksion.uz/lot-view?lot_id=24267138
24286766,46A,8,46A/8/46,"$751,555,000.00 ","$10,900,000.00 ","$37,577,750.00 ",0,On sale,13.07.2026 09:00,9,9,68.95,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,58.7,0,10.25,11,https://e-auksion.uz/lot-view?lot_id=24286766
24286776,46A,8,46A/8/22,"$751,555,000.00 ","$10,900,000.00 ","$37,577,750.00 ",0,On sale,13.07.2026 09:00,5,9,68.95,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,58.7,0,10.25,11,https://e-auksion.uz/lot-view?lot_id=24286776
24286752,46A,7,46A/7/28,"$751,555,000.00 ","$10,900,000.00 ","$37,577,750.00 ",1,On sale,13.07.2026 09:00,6,9,68.95,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,58.7,0,10.25,28,https://e-auksion.uz/lot-view?lot_id=24286752
24286759,46A,8,46A/8/9,"$772,156,000.00 ","$10,900,000.00 ","$38,607,800.00 ",0,On sale,13.07.2026 09:00,3,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,11,https://e-auksion.uz/lot-view?lot_id=24286759
24286773,46A,7,46A/7/33,"$772,156,000.00 ","$10,900,000.00 ","$38,607,800.00 ",1,On sale,13.07.2026 09:00,7,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,15,https://e-auksion.uz/lot-view?lot_id=24286773
24320840,44A,1,44A/1/56,"$693,532,000.00 ","$11,900,000.00 ","$34,676,600.00 ",0,On sale,13.07.2026 09:00,12,12,58.28,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.3,0,12.98,33,https://e-auksion.uz/lot-view?lot_id=24320840
24320859,44B,6,44B/6/52,"$745,560,000.00 ","$10,900,000.00 ","$37,278,000.00 ",0,On sale,13.07.2026 09:00,9,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,7,https://e-auksion.uz/lot-view?lot_id=24320859
24320865,44B,6,44B/6/48,"$953,750,000.00 ","$10,900,000.00 ","$47,687,500.00 ",0,On sale,13.07.2026 09:00,8,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,2,https://e-auksion.uz/lot-view?lot_id=24320865
24320872,44B,6,44B/6/38,"$844,750,000.00 ","$10,900,000.00 ","$42,237,500.00 ",1,On sale,13.07.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,4,https://e-auksion.uz/lot-view?lot_id=24320872
24320881,44B,2,44B/2/52,"$745,560,000.00 ","$10,900,000.00 ","$37,278,000.00 ",0,On sale,13.07.2026 09:00,9,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,11,https://e-auksion.uz/lot-view?lot_id=24320881
24320889,44A,5,44A/5/51,"$693,532,000.00 ","$11,900,000.00 ","$34,676,600.00 ",0,On sale,13.07.2026 09:00,11,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,9,https://e-auksion.uz/lot-view?lot_id=24320889
24320897,46A,3,46A/3/38,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",0,On sale,13.07.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,1,https://e-auksion.uz/lot-view?lot_id=24320897
24320905,44A,7,44A/7/49,"$888,459,000.00 ","$10,900,000.00 ","$44,422,950.00 ",0,On sale,13.07.2026 09:00,11,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,3,https://e-auksion.uz/lot-view?lot_id=24320905
24320917,43F,5,43F/5/48,"$1,068,636,000.00 ","$12,900,000.00 ","$53,431,800.00 ",0,On sale,13.07.2026 09:00,10,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,1,https://e-auksion.uz/lot-view?lot_id=24320917
24320927,43F,8,43F/8/41,"$841,338,000.00 ","$12,900,000.00 ","$42,066,900.00 ",0,On sale,13.07.2026 09:00,7,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,53.24,0,11.98,4,https://e-auksion.uz/lot-view?lot_id=24320927
24286755,46A,7,46A/7/34,"$751,555,000.00 ","$10,900,000.00 ","$37,577,750.00 ",1,On sale,13.07.2026 09:00,7,9,68.95,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,58.7,0,10.25,19,https://e-auksion.uz/lot-view?lot_id=24286755
24286761,46A,8,46A/8/39,"$772,156,000.00 ","$10,900,000.00 ","$38,607,800.00 ",0,On sale,13.07.2026 09:00,8,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,8,https://e-auksion.uz/lot-view?lot_id=24286761
24286768,46A,7,46A/7/27,"$772,156,000.00 ","$10,900,000.00 ","$38,607,800.00 ",0,On sale,13.07.2026 09:00,6,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,25,https://e-auksion.uz/lot-view?lot_id=24286768
24286777,46A,8,46A/8/28,"$751,555,000.00 ","$10,900,000.00 ","$37,577,750.00 ",0,On sale,13.07.2026 09:00,6,9,68.95,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,58.7,0,10.25,8,https://e-auksion.uz/lot-view?lot_id=24286777
24320847,46A,6,46A/6/46,"$748,458,000.00 ","$12,900,000.00 ","$37,422,900.00 ",0,On sale,13.07.2026 09:00,11,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,2,https://e-auksion.uz/lot-view?lot_id=24320847
24320860,44A,4,44A/4/22,"$894,166,000.00 ","$11,900,000.00 ","$44,708,300.00 ",0,On sale,13.07.2026 09:00,4,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,2,https://e-auksion.uz/lot-view?lot_id=24320860
24320869,44B,6,44B/6/49,"$953,750,000.00 ","$10,900,000.00 ","$47,687,500.00 ",0,On sale,13.07.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,2,https://e-auksion.uz/lot-view?lot_id=24320869
24320888,44A,5,44A/5/56,"$693,532,000.00 ","$11,900,000.00 ","$34,676,600.00 ",0,On sale,13.07.2026 09:00,12,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,12,https://e-auksion.uz/lot-view?lot_id=24320888
