lot_number,name,price,price_per_sqm,deposit,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24023492,44B/2/40,745560000,10900000,37278000,0,On sale,24.06.2026 09:00,7,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24023492
24023507,44A/5/52,705114000,12900000,35255700,0,On sale,24.06.2026 09:00,11,12,54.66,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,41.55,0,13.11,0,https://e-auksion.uz/lot-view?lot_id=24023507
24023517,46A/1/54,850854000,10900000,42542700,0,On sale,24.06.2026 09:00,12,12,78.06,3,2027-yilning 2 choragida ,To'liq bitkazilgan holda,60.43,0,17.63,0,https://e-auksion.uz/lot-view?lot_id=24023517
24023528,46A/2/44,868730000,10900000,43436500,0,On sale,24.06.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,0,https://e-auksion.uz/lot-view?lot_id=24023528
24023535,46A/3/44,868730000,10900000,43436500,0,On sale,24.06.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,0,https://e-auksion.uz/lot-view?lot_id=24023535
24023543,46A/1/43,820182000,12900000,41009100,0,On sale,24.06.2026 09:00,10,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,0,https://e-auksion.uz/lot-view?lot_id=24023543
24023552,46A/1/33,820182000,12900000,41009100,0,On sale,24.06.2026 09:00,8,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,0,https://e-auksion.uz/lot-view?lot_id=24023552
24023568,43F/5/44,748458000,12900000,37422900,0,On sale,24.06.2026 09:00,10,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24023568
24023580,43F/5/42,1006974000,12900000,50348700,0,On sale,24.06.2026 09:00,9,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,0,https://e-auksion.uz/lot-view?lot_id=24023580
24023591,43F/5/47,1006974000,12900000,50348700,0,On sale,24.06.2026 09:00,10,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,0,https://e-auksion.uz/lot-view?lot_id=24023591
24023599,43F/5/16,820182000,12900000,41009100,0,On sale,24.06.2026 09:00,4,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,0,https://e-auksion.uz/lot-view?lot_id=24023599
24023605,43F/5/20,695181000,12900000,34759050,0,On sale,24.06.2026 09:00,5,12,53.89,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.81,0,13.08,1,https://e-auksion.uz/lot-view?lot_id=24023605
24023606,43F/5/48,1068636000,12900000,53431800,0,On sale,24.06.2026 09:00,10,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24023606
24023622,43F/8/37,1097532000,12900000,54876600,0,On sale,24.06.2026 09:00,7,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,0,https://e-auksion.uz/lot-view?lot_id=24023622
24023628,43F/8/15,1021035000,12900000,51051750,0,On sale,24.06.2026 09:00,3,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,0,https://e-auksion.uz/lot-view?lot_id=24023628
24023470,44A/1/60,888459000,10900000,44422950,0,On sale,24.06.2026 09:00,12,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,0,https://e-auksion.uz/lot-view?lot_id=24023470
24023484,44B/2/54,953750000,10900000,47687500,0,On sale,24.06.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,0,https://e-auksion.uz/lot-view?lot_id=24023484
24023500,44B/2/23,844750000,10900000,42237500,0,On sale,24.06.2026 09:00,4,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24023500
24023512,44A/5/57,705114000,12900000,35255700,0,On sale,24.06.2026 09:00,12,12,54.66,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,41.55,0,13.11,0,https://e-auksion.uz/lot-view?lot_id=24023512
24023523,46A/2/38,868730000,10900000,43436500,0,On sale,24.06.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,0,https://e-auksion.uz/lot-view?lot_id=24023523
24023532,46A/2/47,868730000,10900000,43436500,0,On sale,24.06.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,0,https://e-auksion.uz/lot-view?lot_id=24023532
24023539,46A/1/53,820182000,12900000,41009100,0,On sale,24.06.2026 09:00,12,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,0,https://e-auksion.uz/lot-view?lot_id=24023539
24023562,46A/9/36,902956000,10900000,45147800,0,On sale,24.06.2026 09:00,9,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24023562
24023574,43F/5/49,748458000,12900000,37422900,0,On sale,24.06.2026 09:00,11,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24023574
24023583,43F/5/14,748458000,12900000,37422900,0,On sale,24.06.2026 09:00,4,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24023583
24023596,43F/5/10,695181000,12900000,34759050,0,On sale,24.06.2026 09:00,3,12,53.89,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.81,0,13.08,1,https://e-auksion.uz/lot-view?lot_id=24023596
24023608,43F/5/53,1068636000,12900000,53431800,0,On sale,24.06.2026 09:00,11,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24023608
24023616,43F/8/25,1097532000,12900000,54876600,0,On sale,24.06.2026 09:00,5,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,0,https://e-auksion.uz/lot-view?lot_id=24023616
24023629,43F/8/20,1021035000,12900000,51051750,0,On sale,24.06.2026 09:00,4,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,0,https://e-auksion.uz/lot-view?lot_id=24023629
24023456,46A/6/31,748458000,12900000,37422900,0,On sale,24.06.2026 09:00,8,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24023456
24023466,44B/6/39,756460000,10900000,37823000,0,On sale,24.06.2026 09:00,7,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,0,https://e-auksion.uz/lot-view?lot_id=24023466
24023488,44B/2/35,844750000,10900000,42237500,0,On sale,24.06.2026 09:00,6,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24023488
24023499,44B/6/44,844750000,10900000,42237500,0,On sale,24.06.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24023499
24023504,44B/2/21,756460000,10900000,37823000,0,On sale,24.06.2026 09:00,4,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,0,https://e-auksion.uz/lot-view?lot_id=24023504
24023510,44A/5/56,693532000,11900000,34676600,0,On sale,24.06.2026 09:00,12,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24023510
24023520,44A/5/55,888459000,10900000,44422950,0,On sale,24.06.2026 09:00,11,12,81.51,3,2027-yilning 2 choragida ,To'liq bitkazilgan holda,60.58,0,20.93,0,https://e-auksion.uz/lot-view?lot_id=24023520
24023530,46A/1/13,820182000,12900000,41009100,0,On sale,24.06.2026 09:00,4,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,0,https://e-auksion.uz/lot-view?lot_id=24023530
24023538,46A/3/46,772156000,10900000,38607800,0,On sale,24.06.2026 09:00,9,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,0,https://e-auksion.uz/lot-view?lot_id=24023538
24023547,46A/4/29,902956000,10900000,45147800,0,On sale,24.06.2026 09:00,9,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24023547
