lot_number,name,Lot,Building, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24195077,43F/8/37,43F,8," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,06.07.2026 09:00,7,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,1,https://e-auksion.uz/lot-view?lot_id=24195077
24195040,43F/5/17,43F,5," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,06.07.2026 09:00,4,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,1,https://e-auksion.uz/lot-view?lot_id=24195040
24195049,43F/5/37,43F,5," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,06.07.2026 09:00,8,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,2,https://e-auksion.uz/lot-view?lot_id=24195049
24195059,43F/5/54,43F,5," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,06.07.2026 09:00,12,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,3,https://e-auksion.uz/lot-view?lot_id=24195059
24195066,43F/5/38,43F,5," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,06.07.2026 09:00,8,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,2,https://e-auksion.uz/lot-view?lot_id=24195066
24195091,43F/8/40,43F,8," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,06.07.2026 09:00,7,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,1,https://e-auksion.uz/lot-view?lot_id=24195091
24194976,46A/6/36,46A,6," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,06.07.2026 09:00,9,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,4,https://e-auksion.uz/lot-view?lot_id=24194976
24194978,44A/4/28,44A,4," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,06.07.2026 09:00,5,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,2,https://e-auksion.uz/lot-view?lot_id=24194978
24194989,44A/5/55,44A,5," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,06.07.2026 09:00,11,12,81.51,3,2027-yilning 2 choragida ,To'liq bitkazilgan holda,60.58,0,20.93,1,https://e-auksion.uz/lot-view?lot_id=24194989
24194998,44A/5/46,44A,5," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,06.07.2026 09:00,10,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,10,https://e-auksion.uz/lot-view?lot_id=24194998
24195017,44B/6/42,44B,6," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,06.07.2026 09:00,7,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,2,https://e-auksion.uz/lot-view?lot_id=24195017
24195021,46A/1/53,46A,1," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,06.07.2026 09:00,12,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,4,https://e-auksion.uz/lot-view?lot_id=24195021
24195036,46A/4/25,46A,4," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,06.07.2026 09:00,8,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,5,https://e-auksion.uz/lot-view?lot_id=24195036
24195044,43F/5/22,43F,5," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,06.07.2026 09:00,5,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,2,https://e-auksion.uz/lot-view?lot_id=24195044
24195053,46A/9/31,46A,9," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,06.07.2026 09:00,8,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,8,https://e-auksion.uz/lot-view?lot_id=24195053
24195060,43F/5/57,43F,5," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,06.07.2026 09:00,12,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,1,https://e-auksion.uz/lot-view?lot_id=24195060
24195075,43F/8/36,43F,8," $841,338,000.00 "," $12,900,000.00 "," $42,066,900.00 ",0,On sale,06.07.2026 09:00,7,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,53.24,0,11.98,5,https://e-auksion.uz/lot-view?lot_id=24195075
24195081,43F/8/26,43F,8," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,06.07.2026 09:00,5,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,1,https://e-auksion.uz/lot-view?lot_id=24195081
